Project,Sentiment,Word Count,Sentence Count,Sentiment,Topics,Keywords
kadaif,0.0,91,25,0.0,"(['youre', 'www', 'written', 'writing', 'wotd', 'write', 'worth', 'work', 'wave', 'words'], ['youre', 'www', 'written', 'writing', 'wotd', 'write', 'worth', 'work', 'wave', 'words'], ['youre', 'www', 'written', 'writing', 'wotd', 'write', 'worth', 'work', 'wave', 'words'], ['br', 'kadaif', 'qt', 'https', 'code', 'install', 'want', 'use', 'qt6', 'em'], ['youre', 'www', 'written', 'writing', 'wotd', 'write', 'worth', 'work', 'wave', 'words'], ['youre', 'www', 'written', 'writing', 'wotd', 'write', 'worth', 'work', 'wave', 'words'], ['youre', 'www', 'written', 'writing', 'wotd', 'write', 'worth', 'work', 'wave', 'words'], ['youre', 'www', 'written', 'writing', 'wotd', 'write', 'worth', 'work', 'wave', 'words'], ['youre', 'www', 'written', 'writing', 'wotd', 'write', 'worth', 'work', 'wave', 'words'], ['youre', 'www', 'written', 'writing', 'wotd', 'write', 'worth', 'work', 'wave', 'words'])",{}
kadaif,-0.0215277777777777,225,18,-0.0215277777777777,"(['youre', 'www', 'written', 'writing', 'wotd', 'write', 'worth', 'work', 'wave', 'words'], ['youre', 'www', 'written', 'writing', 'wotd', 'write', 'worth', 'work', 'wave', 'words'], ['youre', 'www', 'written', 'writing', 'wotd', 'write', 'worth', 'work', 'wave', 'words'], ['br', 'kadaif', 'qt', 'https', 'code', 'install', 'want', 'use', 'qt6', 'em'], ['youre', 'www', 'written', 'writing', 'wotd', 'write', 'worth', 'work', 'wave', 'words'], ['youre', 'www', 'written', 'writing', 'wotd', 'write', 'worth', 'work', 'wave', 'words'], ['youre', 'www', 'written', 'writing', 'wotd', 'write', 'worth', 'work', 'wave', 'words'], ['youre', 'www', 'written', 'writing', 'wotd', 'write', 'worth', 'work', 'wave', 'words'], ['youre', 'www', 'written', 'writing', 'wotd', 'write', 'worth', 'work', 'wave', 'words'], ['youre', 'www', 'written', 'writing', 'wotd', 'write', 'worth', 'work', 'wave', 'words'])",{}
kadaif,-0.1590909090909091,171,21,-0.1590909090909091,"(['youre', 'www', 'written', 'writing', 'wotd', 'write', 'worth', 'work', 'wave', 'words'], ['youre', 'www', 'written', 'writing', 'wotd', 'write', 'worth', 'work', 'wave', 'words'], ['youre', 'www', 'written', 'writing', 'wotd', 'write', 'worth', 'work', 'wave', 'words'], ['br', 'kadaif', 'qt', 'https', 'code', 'install', 'want', 'use', 'qt6', 'em'], ['youre', 'www', 'written', 'writing', 'wotd', 'write', 'worth', 'work', 'wave', 'words'], ['youre', 'www', 'written', 'writing', 'wotd', 'write', 'worth', 'work', 'wave', 'words'], ['youre', 'www', 'written', 'writing', 'wotd', 'write', 'worth', 'work', 'wave', 'words'], ['youre', 'www', 'written', 'writing', 'wotd', 'write', 'worth', 'work', 'wave', 'words'], ['youre', 'www', 'written', 'writing', 'wotd', 'write', 'worth', 'work', 'wave', 'words'], ['youre', 'www', 'written', 'writing', 'wotd', 'write', 'worth', 'work', 'wave', 'words'])",{}
kadaif,0.15625,103,5,0.15625,"(['youre', 'www', 'written', 'writing', 'wotd', 'write', 'worth', 'work', 'wave', 'words'], ['youre', 'www', 'written', 'writing', 'wotd', 'write', 'worth', 'work', 'wave', 'words'], ['youre', 'www', 'written', 'writing', 'wotd', 'write', 'worth', 'work', 'wave', 'words'], ['br', 'kadaif', 'qt', 'https', 'code', 'install', 'want', 'use', 'qt6', 'em'], ['youre', 'www', 'written', 'writing', 'wotd', 'write', 'worth', 'work', 'wave', 'words'], ['youre', 'www', 'written', 'writing', 'wotd', 'write', 'worth', 'work', 'wave', 'words'], ['youre', 'www', 'written', 'writing', 'wotd', 'write', 'worth', 'work', 'wave', 'words'], ['youre', 'www', 'written', 'writing', 'wotd', 'write', 'worth', 'work', 'wave', 'words'], ['youre', 'www', 'written', 'writing', 'wotd', 'write', 'worth', 'work', 'wave', 'words'], ['youre', 'www', 'written', 'writing', 'wotd', 'write', 'worth', 'work', 'wave', 'words'])",{'C++': ['public']}
kadaif,0.1133825944170771,718,36,0.1133825944170771,"(['youre', 'www', 'written', 'writing', 'wotd', 'write', 'worth', 'work', 'wave', 'words'], ['youre', 'www', 'written', 'writing', 'wotd', 'write', 'worth', 'work', 'wave', 'words'], ['youre', 'www', 'written', 'writing', 'wotd', 'write', 'worth', 'work', 'wave', 'words'], ['br', 'kadaif', 'qt', 'https', 'code', 'install', 'want', 'use', 'qt6', 'em'], ['youre', 'www', 'written', 'writing', 'wotd', 'write', 'worth', 'work', 'wave', 'words'], ['youre', 'www', 'written', 'writing', 'wotd', 'write', 'worth', 'work', 'wave', 'words'], ['youre', 'www', 'written', 'writing', 'wotd', 'write', 'worth', 'work', 'wave', 'words'], ['youre', 'www', 'written', 'writing', 'wotd', 'write', 'worth', 'work', 'wave', 'words'], ['youre', 'www', 'written', 'writing', 'wotd', 'write', 'worth', 'work', 'wave', 'words'], ['youre', 'www', 'written', 'writing', 'wotd', 'write', 'worth', 'work', 'wave', 'words'])","{'C++': ['const', 'qt']}"
kadaif,0.0213744588744588,474,16,0.0213744588744588,"(['youre', 'www', 'written', 'writing', 'wotd', 'write', 'worth', 'work', 'wave', 'words'], ['youre', 'www', 'written', 'writing', 'wotd', 'write', 'worth', 'work', 'wave', 'words'], ['youre', 'www', 'written', 'writing', 'wotd', 'write', 'worth', 'work', 'wave', 'words'], ['br', 'kadaif', 'qt', 'https', 'code', 'install', 'want', 'use', 'qt6', 'em'], ['youre', 'www', 'written', 'writing', 'wotd', 'write', 'worth', 'work', 'wave', 'words'], ['youre', 'www', 'written', 'writing', 'wotd', 'write', 'worth', 'work', 'wave', 'words'], ['youre', 'www', 'written', 'writing', 'wotd', 'write', 'worth', 'work', 'wave', 'words'], ['youre', 'www', 'written', 'writing', 'wotd', 'write', 'worth', 'work', 'wave', 'words'], ['youre', 'www', 'written', 'writing', 'wotd', 'write', 'worth', 'work', 'wave', 'words'], ['youre', 'www', 'written', 'writing', 'wotd', 'write', 'worth', 'work', 'wave', 'words'])","{'C++': ['const', 'override', 'qt']}"
kadaif,-0.2712121212121212,168,29,-0.2712121212121212,"(['youre', 'www', 'written', 'writing', 'wotd', 'write', 'worth', 'work', 'wave', 'words'], ['youre', 'www', 'written', 'writing', 'wotd', 'write', 'worth', 'work', 'wave', 'words'], ['youre', 'www', 'written', 'writing', 'wotd', 'write', 'worth', 'work', 'wave', 'words'], ['br', 'kadaif', 'qt', 'https', 'code', 'install', 'want', 'use', 'qt6', 'em'], ['youre', 'www', 'written', 'writing', 'wotd', 'write', 'worth', 'work', 'wave', 'words'], ['youre', 'www', 'written', 'writing', 'wotd', 'write', 'worth', 'work', 'wave', 'words'], ['youre', 'www', 'written', 'writing', 'wotd', 'write', 'worth', 'work', 'wave', 'words'], ['youre', 'www', 'written', 'writing', 'wotd', 'write', 'worth', 'work', 'wave', 'words'], ['youre', 'www', 'written', 'writing', 'wotd', 'write', 'worth', 'work', 'wave', 'words'], ['youre', 'www', 'written', 'writing', 'wotd', 'write', 'worth', 'work', 'wave', 'words'])",{}
kadaif,0.0,52,1,0.0,"(['youre', 'www', 'written', 'writing', 'wotd', 'write', 'worth', 'work', 'wave', 'words'], ['youre', 'www', 'written', 'writing', 'wotd', 'write', 'worth', 'work', 'wave', 'words'], ['youre', 'www', 'written', 'writing', 'wotd', 'write', 'worth', 'work', 'wave', 'words'], ['br', 'kadaif', 'qt', 'https', 'code', 'install', 'want', 'use', 'qt6', 'em'], ['youre', 'www', 'written', 'writing', 'wotd', 'write', 'worth', 'work', 'wave', 'words'], ['youre', 'www', 'written', 'writing', 'wotd', 'write', 'worth', 'work', 'wave', 'words'], ['youre', 'www', 'written', 'writing', 'wotd', 'write', 'worth', 'work', 'wave', 'words'], ['youre', 'www', 'written', 'writing', 'wotd', 'write', 'worth', 'work', 'wave', 'words'], ['youre', 'www', 'written', 'writing', 'wotd', 'write', 'worth', 'work', 'wave', 'words'], ['youre', 'www', 'written', 'writing', 'wotd', 'write', 'worth', 'work', 'wave', 'words'])","{'C++': ['const', 'private', 'public', 'class']}"
kadaif,0.0028619528619528,1249,212,0.0028619528619528,"(['youre', 'www', 'written', 'writing', 'wotd', 'write', 'worth', 'work', 'wave', 'words'], ['youre', 'www', 'written', 'writing', 'wotd', 'write', 'worth', 'work', 'wave', 'words'], ['youre', 'www', 'written', 'writing', 'wotd', 'write', 'worth', 'work', 'wave', 'words'], ['br', 'kadaif', 'qt', 'https', 'code', 'install', 'want', 'use', 'qt6', 'em'], ['youre', 'www', 'written', 'writing', 'wotd', 'write', 'worth', 'work', 'wave', 'words'], ['youre', 'www', 'written', 'writing', 'wotd', 'write', 'worth', 'work', 'wave', 'words'], ['youre', 'www', 'written', 'writing', 'wotd', 'write', 'worth', 'work', 'wave', 'words'], ['youre', 'www', 'written', 'writing', 'wotd', 'write', 'worth', 'work', 'wave', 'words'], ['youre', 'www', 'written', 'writing', 'wotd', 'write', 'worth', 'work', 'wave', 'words'], ['youre', 'www', 'written', 'writing', 'wotd', 'write', 'worth', 'work', 'wave', 'words'])",{'C++': ['new']}
kadaif,-0.05,202,6,-0.05,"(['youre', 'www', 'written', 'writing', 'wotd', 'write', 'worth', 'work', 'wave', 'words'], ['youre', 'www', 'written', 'writing', 'wotd', 'write', 'worth', 'work', 'wave', 'words'], ['youre', 'www', 'written', 'writing', 'wotd', 'write', 'worth', 'work', 'wave', 'words'], ['br', 'kadaif', 'qt', 'https', 'code', 'install', 'want', 'use', 'qt6', 'em'], ['youre', 'www', 'written', 'writing', 'wotd', 'write', 'worth', 'work', 'wave', 'words'], ['youre', 'www', 'written', 'writing', 'wotd', 'write', 'worth', 'work', 'wave', 'words'], ['youre', 'www', 'written', 'writing', 'wotd', 'write', 'worth', 'work', 'wave', 'words'], ['youre', 'www', 'written', 'writing', 'wotd', 'write', 'worth', 'work', 'wave', 'words'], ['youre', 'www', 'written', 'writing', 'wotd', 'write', 'worth', 'work', 'wave', 'words'], ['youre', 'www', 'written', 'writing', 'wotd', 'write', 'worth', 'work', 'wave', 'words'])","{'C++': ['const', 'public']}"
